"","Edad","Sexo","Periodo","Total","ToT","year","trimestre"
"1","Total","Ambos sexos","2002T1","11,55",11.55,2002,1
"2","De 16 a 19 años","Ambos sexos","2002T1","28,42",28.42,2002,1
"3","De 20 a 24 años","Ambos sexos","2002T1","20,42",20.42,2002,1
"4","De 25 a 29 años","Ambos sexos","2002T1","14,37",14.37,2002,1
"5","De 30 a 34 años","Ambos sexos","2002T1","11,22",11.22,2002,1
"6","De 35 a 39 años","Ambos sexos","2002T1","9,82",9.82,2002,1
"7","De 40 a 44 años","Ambos sexos","2002T1","8,85",8.85,2002,1
"8","De 45 a 49 años","Ambos sexos","2002T1","7,68",7.68,2002,1
"9","De 50 a 54 años","Ambos sexos","2002T1","7,69",7.69,2002,1
"10","De 55 a 59 años","Ambos sexos","2002T1","7,58",7.58,2002,1
"11","De 60 a 64 años","Ambos sexos","2002T1","6,77",6.77,2002,1
"12","De 65 a 69 años","Ambos sexos","2002T1","2,07",2.07,2002,1
"13","70 y más años","Ambos sexos","2002T1","2,44",2.44,2002,1
"14","Total","Ambos sexos","2002T2","11,15",11.15,2002,2
"15","De 16 a 19 años","Ambos sexos","2002T2","29,48",29.48,2002,2
"16","De 20 a 24 años","Ambos sexos","2002T2","19,49",19.49,2002,2
"17","De 25 a 29 años","Ambos sexos","2002T2","13,87",13.87,2002,2
"18","De 30 a 34 años","Ambos sexos","2002T2","10,43",10.43,2002,2
"19","De 35 a 39 años","Ambos sexos","2002T2","9,58",9.58,2002,2
"20","De 40 a 44 años","Ambos sexos","2002T2","8,21",8.21,2002,2
"21","De 45 a 49 años","Ambos sexos","2002T2","7,78",7.78,2002,2
"22","De 50 a 54 años","Ambos sexos","2002T2","7,93",7.93,2002,2
"23","De 55 a 59 años","Ambos sexos","2002T2","7,34",7.34,2002,2
"24","De 60 a 64 años","Ambos sexos","2002T2","6,53",6.53,2002,2
"25","De 65 a 69 años","Ambos sexos","2002T2","2,11",2.11,2002,2
"26","70 y más años","Ambos sexos","2002T2","0,00",0,2002,2
"27","Total","Ambos sexos","2002T3","11,49",11.49,2002,3
"28","De 16 a 19 años","Ambos sexos","2002T3","30,06",30.06,2002,3
"29","De 20 a 24 años","Ambos sexos","2002T3","19,89",19.89,2002,3
"30","De 25 a 29 años","Ambos sexos","2002T3","14,15",14.15,2002,3
"31","De 30 a 34 años","Ambos sexos","2002T3","10,87",10.87,2002,3
"32","De 35 a 39 años","Ambos sexos","2002T3","9,73",9.73,2002,3
"33","De 40 a 44 años","Ambos sexos","2002T3","8,66",8.66,2002,3
"34","De 45 a 49 años","Ambos sexos","2002T3","8,05",8.05,2002,3
"35","De 50 a 54 años","Ambos sexos","2002T3","7,67",7.67,2002,3
"36","De 55 a 59 años","Ambos sexos","2002T3","7,93",7.93,2002,3
"37","De 60 a 64 años","Ambos sexos","2002T3","6,58",6.58,2002,3
"38","De 65 a 69 años","Ambos sexos","2002T3","0,94",0.94,2002,3
"39","70 y más años","Ambos sexos","2002T3","0,00",0,2002,3
"40","Total","Ambos sexos","2002T4","11,61",11.61,2002,4
"41","De 16 a 19 años","Ambos sexos","2002T4","31,55",31.55,2002,4
"42","De 20 a 24 años","Ambos sexos","2002T4","21,03",21.03,2002,4
"43","De 25 a 29 años","Ambos sexos","2002T4","14,63",14.63,2002,4
"44","De 30 a 34 años","Ambos sexos","2002T4","10,56",10.56,2002,4
"45","De 35 a 39 años","Ambos sexos","2002T4","9,70",9.7,2002,4
"46","De 40 a 44 años","Ambos sexos","2002T4","8,95",8.95,2002,4
"47","De 45 a 49 años","Ambos sexos","2002T4","8,26",8.26,2002,4
"48","De 50 a 54 años","Ambos sexos","2002T4","7,43",7.43,2002,4
"49","De 55 a 59 años","Ambos sexos","2002T4","7,82",7.82,2002,4
"50","De 60 a 64 años","Ambos sexos","2002T4","6,23",6.23,2002,4
"51","De 65 a 69 años","Ambos sexos","2002T4","2,06",2.06,2002,4
"52","70 y más años","Ambos sexos","2002T4","0,53",0.53,2002,4
"53","Total","Ambos sexos","2003T1","11,99",11.99,2003,1
"54","De 16 a 19 años","Ambos sexos","2003T1","33,85",33.85,2003,1
"55","De 20 a 24 años","Ambos sexos","2003T1","20,85",20.85,2003,1
"56","De 25 a 29 años","Ambos sexos","2003T1","14,98",14.98,2003,1
"57","De 30 a 34 años","Ambos sexos","2003T1","11,51",11.51,2003,1
"58","De 35 a 39 años","Ambos sexos","2003T1","10,71",10.71,2003,1
"59","De 40 a 44 años","Ambos sexos","2003T1","8,65",8.65,2003,1
"60","De 45 a 49 años","Ambos sexos","2003T1","8,70",8.7,2003,1
"61","De 50 a 54 años","Ambos sexos","2003T1","8,10",8.1,2003,1
"62","De 55 a 59 años","Ambos sexos","2003T1","7,49",7.49,2003,1
"63","De 60 a 64 años","Ambos sexos","2003T1","6,10",6.1,2003,1
"64","De 65 a 69 años","Ambos sexos","2003T1","2,10",2.1,2003,1
"65","70 y más años","Ambos sexos","2003T1","2,17",2.17,2003,1
"66","Total","Ambos sexos","2003T2","11,28",11.28,2003,2
"67","De 16 a 19 años","Ambos sexos","2003T2","34,13",34.13,2003,2
"68","De 20 a 24 años","Ambos sexos","2003T2","19,26",19.26,2003,2
"69","De 25 a 29 años","Ambos sexos","2003T2","13,84",13.84,2003,2
"70","De 30 a 34 años","Ambos sexos","2003T2","10,79",10.79,2003,2
"71","De 35 a 39 años","Ambos sexos","2003T2","10,07",10.07,2003,2
"72","De 40 a 44 años","Ambos sexos","2003T2","8,62",8.62,2003,2
"73","De 45 a 49 años","Ambos sexos","2003T2","8,00",8,2003,2
"74","De 50 a 54 años","Ambos sexos","2003T2","7,14",7.14,2003,2
"75","De 55 a 59 años","Ambos sexos","2003T2","7,37",7.37,2003,2
"76","De 60 a 64 años","Ambos sexos","2003T2","5,70",5.7,2003,2
"77","De 65 a 69 años","Ambos sexos","2003T2","2,77",2.77,2003,2
"78","70 y más años","Ambos sexos","2003T2","0,30",0.3,2003,2
"79","Total","Ambos sexos","2003T3","11,30",11.3,2003,3
"80","De 16 a 19 años","Ambos sexos","2003T3","31,49",31.49,2003,3
"81","De 20 a 24 años","Ambos sexos","2003T3","19,76",19.76,2003,3
"82","De 25 a 29 años","Ambos sexos","2003T3","13,94",13.94,2003,3
"83","De 30 a 34 años","Ambos sexos","2003T3","11,23",11.23,2003,3
"84","De 35 a 39 años","Ambos sexos","2003T3","9,38",9.38,2003,3
"85","De 40 a 44 años","Ambos sexos","2003T3","8,57",8.57,2003,3
"86","De 45 a 49 años","Ambos sexos","2003T3","7,47",7.47,2003,3
"87","De 50 a 54 años","Ambos sexos","2003T3","6,99",6.99,2003,3
"88","De 55 a 59 años","Ambos sexos","2003T3","7,92",7.92,2003,3
"89","De 60 a 64 años","Ambos sexos","2003T3","7,09",7.09,2003,3
"90","De 65 a 69 años","Ambos sexos","2003T3","1,63",1.63,2003,3
"91","70 y más años","Ambos sexos","2003T3","0,53",0.53,2003,3
"92","Total","Ambos sexos","2003T4","11,37",11.37,2003,4
"93","De 16 a 19 años","Ambos sexos","2003T4","32,07",32.07,2003,4
"94","De 20 a 24 años","Ambos sexos","2003T4","20,66",20.66,2003,4
"95","De 25 a 29 años","Ambos sexos","2003T4","13,95",13.95,2003,4
"96","De 30 a 34 años","Ambos sexos","2003T4","10,79",10.79,2003,4
"97","De 35 a 39 años","Ambos sexos","2003T4","10,13",10.13,2003,4
"98","De 40 a 44 años","Ambos sexos","2003T4","8,65",8.65,2003,4
"99","De 45 a 49 años","Ambos sexos","2003T4","7,96",7.96,2003,4
"100","De 50 a 54 años","Ambos sexos","2003T4","7,38",7.38,2003,4
"101","De 55 a 59 años","Ambos sexos","2003T4","6,80",6.8,2003,4
"102","De 60 a 64 años","Ambos sexos","2003T4","6,98",6.98,2003,4
"103","De 65 a 69 años","Ambos sexos","2003T4","1,61",1.61,2003,4
"104","70 y más años","Ambos sexos","2003T4","3,56",3.56,2003,4
"105","Total","Ambos sexos","2004T1","11,50",11.5,2004,1
"106","De 16 a 19 años","Ambos sexos","2004T1","32,45",32.45,2004,1
"107","De 20 a 24 años","Ambos sexos","2004T1","20,30",20.3,2004,1
"108","De 25 a 29 años","Ambos sexos","2004T1","14,18",14.18,2004,1
"109","De 30 a 34 años","Ambos sexos","2004T1","11,15",11.15,2004,1
"110","De 35 a 39 años","Ambos sexos","2004T1","10,87",10.87,2004,1
"111","De 40 a 44 años","Ambos sexos","2004T1","8,59",8.59,2004,1
"112","De 45 a 49 años","Ambos sexos","2004T1","7,87",7.87,2004,1
"113","De 50 a 54 años","Ambos sexos","2004T1","7,45",7.45,2004,1
"114","De 55 a 59 años","Ambos sexos","2004T1","7,01",7.01,2004,1
"115","De 60 a 64 años","Ambos sexos","2004T1","7,07",7.07,2004,1
"116","De 65 a 69 años","Ambos sexos","2004T1","2,19",2.19,2004,1
"117","70 y más años","Ambos sexos","2004T1","0,00",0,2004,1
"118","Total","Ambos sexos","2004T2","11,09",11.09,2004,2
"119","De 16 a 19 años","Ambos sexos","2004T2","32,16",32.16,2004,2
"120","De 20 a 24 años","Ambos sexos","2004T2","20,11",20.11,2004,2
"121","De 25 a 29 años","Ambos sexos","2004T2","12,94",12.94,2004,2
"122","De 30 a 34 años","Ambos sexos","2004T2","10,43",10.43,2004,2
"123","De 35 a 39 años","Ambos sexos","2004T2","9,41",9.41,2004,2
"124","De 40 a 44 años","Ambos sexos","2004T2","9,34",9.34,2004,2
"125","De 45 a 49 años","Ambos sexos","2004T2","7,92",7.92,2004,2
"126","De 50 a 54 años","Ambos sexos","2004T2","7,38",7.38,2004,2
"127","De 55 a 59 años","Ambos sexos","2004T2","7,38",7.38,2004,2
"128","De 60 a 64 años","Ambos sexos","2004T2","7,66",7.66,2004,2
"129","De 65 a 69 años","Ambos sexos","2004T2","2,22",2.22,2004,2
"130","70 y más años","Ambos sexos","2004T2","0,00",0,2004,2
"131","Total","Ambos sexos","2004T3","10,74",10.74,2004,3
"132","De 16 a 19 años","Ambos sexos","2004T3","29,28",29.28,2004,3
"133","De 20 a 24 años","Ambos sexos","2004T3","19,57",19.57,2004,3
"134","De 25 a 29 años","Ambos sexos","2004T3","12,54",12.54,2004,3
"135","De 30 a 34 años","Ambos sexos","2004T3","9,94",9.94,2004,3
"136","De 35 a 39 años","Ambos sexos","2004T3","9,54",9.54,2004,3
"137","De 40 a 44 años","Ambos sexos","2004T3","8,32",8.32,2004,3
"138","De 45 a 49 años","Ambos sexos","2004T3","7,88",7.88,2004,3
"139","De 50 a 54 años","Ambos sexos","2004T3","7,12",7.12,2004,3
"140","De 55 a 59 años","Ambos sexos","2004T3","7,21",7.21,2004,3
"141","De 60 a 64 años","Ambos sexos","2004T3","7,50",7.5,2004,3
"142","De 65 a 69 años","Ambos sexos","2004T3","0,93",0.93,2004,3
"143","70 y más años","Ambos sexos","2004T3","1,75",1.75,2004,3
"144","Total","Ambos sexos","2004T4","10,53",10.53,2004,4
"145","De 16 a 19 años","Ambos sexos","2004T4","29,04",29.04,2004,4
"146","De 20 a 24 años","Ambos sexos","2004T4","19,31",19.31,2004,4
"147","De 25 a 29 años","Ambos sexos","2004T4","11,95",11.95,2004,4
"148","De 30 a 34 años","Ambos sexos","2004T4","9,79",9.79,2004,4
"149","De 35 a 39 años","Ambos sexos","2004T4","9,90",9.9,2004,4
"150","De 40 a 44 años","Ambos sexos","2004T4","8,26",8.26,2004,4
"151","De 45 a 49 años","Ambos sexos","2004T4","7,84",7.84,2004,4
"152","De 50 a 54 años","Ambos sexos","2004T4","7,34",7.34,2004,4
"153","De 55 a 59 años","Ambos sexos","2004T4","7,18",7.18,2004,4
"154","De 60 a 64 años","Ambos sexos","2004T4","6,88",6.88,2004,4
"155","De 65 a 69 años","Ambos sexos","2004T4","1,63",1.63,2004,4
"156","70 y más años","Ambos sexos","2004T4","1,41",1.41,2004,4
"157","Total","Ambos sexos","2005T1","10,17",10.17,2005,1
"158","De 16 a 19 años","Ambos sexos","2005T1","31,21",31.21,2005,1
"159","De 20 a 24 años","Ambos sexos","2005T1","19,23",19.23,2005,1
"160","De 25 a 29 años","Ambos sexos","2005T1","11,86",11.86,2005,1
"161","De 30 a 34 años","Ambos sexos","2005T1","8,86",8.86,2005,1
"162","De 35 a 39 años","Ambos sexos","2005T1","8,82",8.82,2005,1
"163","De 40 a 44 años","Ambos sexos","2005T1","8,28",8.28,2005,1
"164","De 45 a 49 años","Ambos sexos","2005T1","7,37",7.37,2005,1
"165","De 50 a 54 años","Ambos sexos","2005T1","6,62",6.62,2005,1
"166","De 55 a 59 años","Ambos sexos","2005T1","7,21",7.21,2005,1
"167","De 60 a 64 años","Ambos sexos","2005T1","6,57",6.57,2005,1
"168","De 65 a 69 años","Ambos sexos","2005T1","2,21",2.21,2005,1
"169","70 y más años","Ambos sexos","2005T1","0,46",0.46,2005,1
"170","Total","Ambos sexos","2005T2","9,32",9.32,2005,2
"171","De 16 a 19 años","Ambos sexos","2005T2","31,07",31.07,2005,2
"172","De 20 a 24 años","Ambos sexos","2005T2","17,27",17.27,2005,2
"173","De 25 a 29 años","Ambos sexos","2005T2","11,18",11.18,2005,2
"174","De 30 a 34 años","Ambos sexos","2005T2","7,99",7.99,2005,2
"175","De 35 a 39 años","Ambos sexos","2005T2","7,62",7.62,2005,2
"176","De 40 a 44 años","Ambos sexos","2005T2","7,10",7.1,2005,2
"177","De 45 a 49 años","Ambos sexos","2005T2","6,49",6.49,2005,2
"178","De 50 a 54 años","Ambos sexos","2005T2","6,24",6.24,2005,2
"179","De 55 a 59 años","Ambos sexos","2005T2","7,22",7.22,2005,2
"180","De 60 a 64 años","Ambos sexos","2005T2","6,49",6.49,2005,2
"181","De 65 a 69 años","Ambos sexos","2005T2","3,08",3.08,2005,2
"182","70 y más años","Ambos sexos","2005T2","0,90",0.9,2005,2
"183","Total","Ambos sexos","2005T3","8,41",8.41,2005,3
"184","De 16 a 19 años","Ambos sexos","2005T3","26,88",26.88,2005,3
"185","De 20 a 24 años","Ambos sexos","2005T3","15,40",15.4,2005,3
"186","De 25 a 29 años","Ambos sexos","2005T3","10,26",10.26,2005,3
"187","De 30 a 34 años","Ambos sexos","2005T3","7,14",7.14,2005,3
"188","De 35 a 39 años","Ambos sexos","2005T3","7,20",7.2,2005,3
"189","De 40 a 44 años","Ambos sexos","2005T3","6,39",6.39,2005,3
"190","De 45 a 49 años","Ambos sexos","2005T3","5,96",5.96,2005,3
"191","De 50 a 54 años","Ambos sexos","2005T3","5,68",5.68,2005,3
"192","De 55 a 59 años","Ambos sexos","2005T3","5,53",5.53,2005,3
"193","De 60 a 64 años","Ambos sexos","2005T3","5,02",5.02,2005,3
"194","De 65 a 69 años","Ambos sexos","2005T3","4,46",4.46,2005,3
"195","70 y más años","Ambos sexos","2005T3","3,69",3.69,2005,3
"196","Total","Ambos sexos","2005T4","8,71",8.71,2005,4
"197","De 16 a 19 años","Ambos sexos","2005T4","27,83",27.83,2005,4
"198","De 20 a 24 años","Ambos sexos","2005T4","16,17",16.17,2005,4
"199","De 25 a 29 años","Ambos sexos","2005T4","10,61",10.61,2005,4
"200","De 30 a 34 años","Ambos sexos","2005T4","7,95",7.95,2005,4
"201","De 35 a 39 años","Ambos sexos","2005T4","7,17",7.17,2005,4
"202","De 40 a 44 años","Ambos sexos","2005T4","6,74",6.74,2005,4
"203","De 45 a 49 años","Ambos sexos","2005T4","6,49",6.49,2005,4
"204","De 50 a 54 años","Ambos sexos","2005T4","5,68",5.68,2005,4
"205","De 55 a 59 años","Ambos sexos","2005T4","6,22",6.22,2005,4
"206","De 60 a 64 años","Ambos sexos","2005T4","5,33",5.33,2005,4
"207","De 65 a 69 años","Ambos sexos","2005T4","1,70",1.7,2005,4
"208","70 y más años","Ambos sexos","2005T4","0,51",0.51,2005,4
"209","Total","Ambos sexos","2006T1","9,03",9.03,2006,1
"210","De 16 a 19 años","Ambos sexos","2006T1","29,68",29.68,2006,1
"211","De 20 a 24 años","Ambos sexos","2006T1","15,85",15.85,2006,1
"212","De 25 a 29 años","Ambos sexos","2006T1","11,27",11.27,2006,1
"213","De 30 a 34 años","Ambos sexos","2006T1","8,13",8.13,2006,1
"214","De 35 a 39 años","Ambos sexos","2006T1","7,32",7.32,2006,1
"215","De 40 a 44 años","Ambos sexos","2006T1","7,48",7.48,2006,1
"216","De 45 a 49 años","Ambos sexos","2006T1","6,46",6.46,2006,1
"217","De 50 a 54 años","Ambos sexos","2006T1","6,55",6.55,2006,1
"218","De 55 a 59 años","Ambos sexos","2006T1","6,91",6.91,2006,1
"219","De 60 a 64 años","Ambos sexos","2006T1","4,77",4.77,2006,1
"220","De 65 a 69 años","Ambos sexos","2006T1","2,54",2.54,2006,1
"221","70 y más años","Ambos sexos","2006T1","0,82",0.82,2006,1
"222","Total","Ambos sexos","2006T2","8,44",8.44,2006,2
"223","De 16 a 19 años","Ambos sexos","2006T2","31,22",31.22,2006,2
"224","De 20 a 24 años","Ambos sexos","2006T2","14,54",14.54,2006,2
"225","De 25 a 29 años","Ambos sexos","2006T2","9,94",9.94,2006,2
"226","De 30 a 34 años","Ambos sexos","2006T2","8,25",8.25,2006,2
"227","De 35 a 39 años","Ambos sexos","2006T2","6,95",6.95,2006,2
"228","De 40 a 44 años","Ambos sexos","2006T2","6,86",6.86,2006,2
"229","De 45 a 49 años","Ambos sexos","2006T2","5,33",5.33,2006,2
"230","De 50 a 54 años","Ambos sexos","2006T2","6,12",6.12,2006,2
"231","De 55 a 59 años","Ambos sexos","2006T2","6,05",6.05,2006,2
"232","De 60 a 64 años","Ambos sexos","2006T2","4,97",4.97,2006,2
"233","De 65 a 69 años","Ambos sexos","2006T2","2,41",2.41,2006,2
"234","70 y más años","Ambos sexos","2006T2","0,19",0.19,2006,2
"235","Total","Ambos sexos","2006T3","8,08",8.08,2006,3
"236","De 16 a 19 años","Ambos sexos","2006T3","24,87",24.87,2006,3
"237","De 20 a 24 años","Ambos sexos","2006T3","14,46",14.46,2006,3
"238","De 25 a 29 años","Ambos sexos","2006T3","9,37",9.37,2006,3
"239","De 30 a 34 años","Ambos sexos","2006T3","7,58",7.58,2006,3
"240","De 35 a 39 años","Ambos sexos","2006T3","6,92",6.92,2006,3
"241","De 40 a 44 años","Ambos sexos","2006T3","6,50",6.5,2006,3
"242","De 45 a 49 años","Ambos sexos","2006T3","5,56",5.56,2006,3
"243","De 50 a 54 años","Ambos sexos","2006T3","5,86",5.86,2006,3
"244","De 55 a 59 años","Ambos sexos","2006T3","6,07",6.07,2006,3
"245","De 60 a 64 años","Ambos sexos","2006T3","4,79",4.79,2006,3
"246","De 65 a 69 años","Ambos sexos","2006T3","1,24",1.24,2006,3
"247","70 y más años","Ambos sexos","2006T3","0,69",0.69,2006,3
"248","Total","Ambos sexos","2006T4","8,26",8.26,2006,4
"249","De 16 a 19 años","Ambos sexos","2006T4","31,23",31.23,2006,4
"250","De 20 a 24 años","Ambos sexos","2006T4","14,11",14.11,2006,4
"251","De 25 a 29 años","Ambos sexos","2006T4","9,69",9.69,2006,4
"252","De 30 a 34 años","Ambos sexos","2006T4","7,35",7.35,2006,4
"253","De 35 a 39 años","Ambos sexos","2006T4","7,26",7.26,2006,4
"254","De 40 a 44 años","Ambos sexos","2006T4","6,67",6.67,2006,4
"255","De 45 a 49 años","Ambos sexos","2006T4","5,88",5.88,2006,4
"256","De 50 a 54 años","Ambos sexos","2006T4","6,15",6.15,2006,4
"257","De 55 a 59 años","Ambos sexos","2006T4","5,78",5.78,2006,4
"258","De 60 a 64 años","Ambos sexos","2006T4","5,21",5.21,2006,4
"259","De 65 a 69 años","Ambos sexos","2006T4","2,43",2.43,2006,4
"260","70 y más años","Ambos sexos","2006T4","1,74",1.74,2006,4
"261","Total","Ambos sexos","2007T1","8,42",8.42,2007,1
"262","De 16 a 19 años","Ambos sexos","2007T1","27,59",27.59,2007,1
"263","De 20 a 24 años","Ambos sexos","2007T1","15,02",15.02,2007,1
"264","De 25 a 29 años","Ambos sexos","2007T1","9,21",9.21,2007,1
"265","De 30 a 34 años","Ambos sexos","2007T1","7,93",7.93,2007,1
"266","De 35 a 39 años","Ambos sexos","2007T1","7,75",7.75,2007,1
"267","De 40 a 44 años","Ambos sexos","2007T1","6,81",6.81,2007,1
"268","De 45 a 49 años","Ambos sexos","2007T1","5,89",5.89,2007,1
"269","De 50 a 54 años","Ambos sexos","2007T1","6,58",6.58,2007,1
"270","De 55 a 59 años","Ambos sexos","2007T1","6,17",6.17,2007,1
"271","De 60 a 64 años","Ambos sexos","2007T1","6,11",6.11,2007,1
"272","De 65 a 69 años","Ambos sexos","2007T1","2,81",2.81,2007,1
"273","70 y más años","Ambos sexos","2007T1","1,56",1.56,2007,1
"274","Total","Ambos sexos","2007T2","7,93",7.93,2007,2
"275","De 16 a 19 años","Ambos sexos","2007T2","29,19",29.19,2007,2
"276","De 20 a 24 años","Ambos sexos","2007T2","14,78",14.78,2007,2
"277","De 25 a 29 años","Ambos sexos","2007T2","8,09",8.09,2007,2
"278","De 30 a 34 años","Ambos sexos","2007T2","6,93",6.93,2007,2
"279","De 35 a 39 años","Ambos sexos","2007T2","6,86",6.86,2007,2
"280","De 40 a 44 años","Ambos sexos","2007T2","6,50",6.5,2007,2
"281","De 45 a 49 años","Ambos sexos","2007T2","5,86",5.86,2007,2
"282","De 50 a 54 años","Ambos sexos","2007T2","6,38",6.38,2007,2
"283","De 55 a 59 años","Ambos sexos","2007T2","6,02",6.02,2007,2
"284","De 60 a 64 años","Ambos sexos","2007T2","5,27",5.27,2007,2
"285","De 65 a 69 años","Ambos sexos","2007T2","2,26",2.26,2007,2
"286","70 y más años","Ambos sexos","2007T2","0,57",0.57,2007,2
"287","Total","Ambos sexos","2007T3","8,01",8.01,2007,3
"288","De 16 a 19 años","Ambos sexos","2007T3","27,21",27.21,2007,3
"289","De 20 a 24 años","Ambos sexos","2007T3","14,91",14.91,2007,3
"290","De 25 a 29 años","Ambos sexos","2007T3","8,71",8.71,2007,3
"291","De 30 a 34 años","Ambos sexos","2007T3","7,03",7.03,2007,3
"292","De 35 a 39 años","Ambos sexos","2007T3","6,66",6.66,2007,3
"293","De 40 a 44 años","Ambos sexos","2007T3","6,23",6.23,2007,3
"294","De 45 a 49 años","Ambos sexos","2007T3","6,33",6.33,2007,3
"295","De 50 a 54 años","Ambos sexos","2007T3","5,93",5.93,2007,3
"296","De 55 a 59 años","Ambos sexos","2007T3","6,07",6.07,2007,3
"297","De 60 a 64 años","Ambos sexos","2007T3","5,37",5.37,2007,3
"298","De 65 a 69 años","Ambos sexos","2007T3","1,11",1.11,2007,3
"299","70 y más años","Ambos sexos","2007T3","0,31",0.31,2007,3
"300","Total","Ambos sexos","2007T4","8,57",8.57,2007,4
"301","De 16 a 19 años","Ambos sexos","2007T4","31,08",31.08,2007,4
"302","De 20 a 24 años","Ambos sexos","2007T4","15,18",15.18,2007,4
"303","De 25 a 29 años","Ambos sexos","2007T4","9,82",9.82,2007,4
"304","De 30 a 34 años","Ambos sexos","2007T4","7,61",7.61,2007,4
"305","De 35 a 39 años","Ambos sexos","2007T4","6,64",6.64,2007,4
"306","De 40 a 44 años","Ambos sexos","2007T4","7,31",7.31,2007,4
"307","De 45 a 49 años","Ambos sexos","2007T4","7,04",7.04,2007,4
"308","De 50 a 54 años","Ambos sexos","2007T4","6,70",6.7,2007,4
"309","De 55 a 59 años","Ambos sexos","2007T4","6,47",6.47,2007,4
"310","De 60 a 64 años","Ambos sexos","2007T4","5,54",5.54,2007,4
"311","De 65 a 69 años","Ambos sexos","2007T4","0,98",0.98,2007,4
"312","70 y más años","Ambos sexos","2007T4","0,40",0.4,2007,4
"313","Total","Ambos sexos","2008T1","9,60",9.6,2008,1
"314","De 16 a 19 años","Ambos sexos","2008T1","32,82",32.82,2008,1
"315","De 20 a 24 años","Ambos sexos","2008T1","17,75",17.75,2008,1
"316","De 25 a 29 años","Ambos sexos","2008T1","11,10",11.1,2008,1
"317","De 30 a 34 años","Ambos sexos","2008T1","8,35",8.35,2008,1
"318","De 35 a 39 años","Ambos sexos","2008T1","8,17",8.17,2008,1
"319","De 40 a 44 años","Ambos sexos","2008T1","8,28",8.28,2008,1
"320","De 45 a 49 años","Ambos sexos","2008T1","7,25",7.25,2008,1
"321","De 50 a 54 años","Ambos sexos","2008T1","7,55",7.55,2008,1
"322","De 55 a 59 años","Ambos sexos","2008T1","6,76",6.76,2008,1
"323","De 60 a 64 años","Ambos sexos","2008T1","6,61",6.61,2008,1
"324","De 65 a 69 años","Ambos sexos","2008T1","2,35",2.35,2008,1
