"","Edad","Sexo","Periodo","Total","ToT","year","trimestre"
"644","De 40 a 44 años","Ambos sexos","2014T2","21,42",21.42,2014,2
"645","De 45 a 49 años","Ambos sexos","2014T2","22,18",22.18,2014,2
"646","De 50 a 54 años","Ambos sexos","2014T2","20,80",20.8,2014,2
"647","De 55 a 59 años","Ambos sexos","2014T2","21,85",21.85,2014,2
"648","De 60 a 64 años","Ambos sexos","2014T2","17,08",17.08,2014,2
"649","De 65 a 69 años","Ambos sexos","2014T2","5,56",5.56,2014,2
"650","70 y más años","Ambos sexos","2014T2","3,21",3.21,2014,2
"651","Total","Ambos sexos","2014T3","23,67",23.67,2014,3
"652","De 16 a 19 años","Ambos sexos","2014T3","66,71",66.71,2014,3
"653","De 20 a 24 años","Ambos sexos","2014T3","49,54",49.54,2014,3
"654","De 25 a 29 años","Ambos sexos","2014T3","28,75",28.75,2014,3
"655","De 30 a 34 años","Ambos sexos","2014T3","23,05",23.05,2014,3
"656","De 35 a 39 años","Ambos sexos","2014T3","20,65",20.65,2014,3
"657","De 40 a 44 años","Ambos sexos","2014T3","19,84",19.84,2014,3
"658","De 45 a 49 años","Ambos sexos","2014T3","20,89",20.89,2014,3
"659","De 50 a 54 años","Ambos sexos","2014T3","20,07",20.07,2014,3
"660","De 55 a 59 años","Ambos sexos","2014T3","21,17",21.17,2014,3
"661","De 60 a 64 años","Ambos sexos","2014T3","16,22",16.22,2014,3
"662","De 65 a 69 años","Ambos sexos","2014T3","5,07",5.07,2014,3
"663","70 y más años","Ambos sexos","2014T3","3,31",3.31,2014,3
"664","Total","Ambos sexos","2014T4","23,70",23.7,2014,4
"665","De 16 a 19 años","Ambos sexos","2014T4","67,28",67.28,2014,4
"666","De 20 a 24 años","Ambos sexos","2014T4","48,88",48.88,2014,4
"667","De 25 a 29 años","Ambos sexos","2014T4","29,77",29.77,2014,4
"668","De 30 a 34 años","Ambos sexos","2014T4","23,35",23.35,2014,4
"669","De 35 a 39 años","Ambos sexos","2014T4","20,27",20.27,2014,4
"670","De 40 a 44 años","Ambos sexos","2014T4","20,83",20.83,2014,4
"671","De 45 a 49 años","Ambos sexos","2014T4","20,64",20.64,2014,4
"672","De 50 a 54 años","Ambos sexos","2014T4","20,01",20.01,2014,4
"673","De 55 a 59 años","Ambos sexos","2014T4","21,38",21.38,2014,4
"674","De 60 a 64 años","Ambos sexos","2014T4","16,32",16.32,2014,4
"675","De 65 a 69 años","Ambos sexos","2014T4","6,23",6.23,2014,4
"676","70 y más años","Ambos sexos","2014T4","2,32",2.32,2014,4
"677","Total","Ambos sexos","2015T1","23,78",23.78,2015,1
"678","De 16 a 19 años","Ambos sexos","2015T1","70,45",70.45,2015,1
"679","De 20 a 24 años","Ambos sexos","2015T1","47,74",47.74,2015,1
"680","De 25 a 29 años","Ambos sexos","2015T1","30,18",30.18,2015,1
"681","De 30 a 34 años","Ambos sexos","2015T1","24,11",24.11,2015,1
"682","De 35 a 39 años","Ambos sexos","2015T1","20,57",20.57,2015,1
"683","De 40 a 44 años","Ambos sexos","2015T1","20,28",20.28,2015,1
"684","De 45 a 49 años","Ambos sexos","2015T1","21,72",21.72,2015,1
"685","De 50 a 54 años","Ambos sexos","2015T1","20,17",20.17,2015,1
"686","De 55 a 59 años","Ambos sexos","2015T1","20,09",20.09,2015,1
"687","De 60 a 64 años","Ambos sexos","2015T1","16,96",16.96,2015,1
"688","De 65 a 69 años","Ambos sexos","2015T1","5,43",5.43,2015,1
"689","70 y más años","Ambos sexos","2015T1","0,00",0,2015,1
"690","Total","Ambos sexos","2015T2","22,37",22.37,2015,2
"691","De 16 a 19 años","Ambos sexos","2015T2","69,36",69.36,2015,2
"692","De 20 a 24 años","Ambos sexos","2015T2","45,26",45.26,2015,2
"693","De 25 a 29 años","Ambos sexos","2015T2","28,41",28.41,2015,2
"694","De 30 a 34 años","Ambos sexos","2015T2","21,96",21.96,2015,2
"695","De 35 a 39 años","Ambos sexos","2015T2","19,47",19.47,2015,2
"696","De 40 a 44 años","Ambos sexos","2015T2","18,39",18.39,2015,2
"697","De 45 a 49 años","Ambos sexos","2015T2","20,41",20.41,2015,2
"698","De 50 a 54 años","Ambos sexos","2015T2","19,24",19.24,2015,2
"699","De 55 a 59 años","Ambos sexos","2015T2","19,56",19.56,2015,2
"700","De 60 a 64 años","Ambos sexos","2015T2","16,54",16.54,2015,2
"701","De 65 a 69 años","Ambos sexos","2015T2","4,37",4.37,2015,2
"702","70 y más años","Ambos sexos","2015T2","2,22",2.22,2015,2
"703","Total","Ambos sexos","2015T3","21,18",21.18,2015,3
"704","De 16 a 19 años","Ambos sexos","2015T3","63,73",63.73,2015,3
"705","De 20 a 24 años","Ambos sexos","2015T3","42,89",42.89,2015,3
"706","De 25 a 29 años","Ambos sexos","2015T3","27,84",27.84,2015,3
"707","De 30 a 34 años","Ambos sexos","2015T3","20,21",20.21,2015,3
"708","De 35 a 39 años","Ambos sexos","2015T3","17,20",17.2,2015,3
"709","De 40 a 44 años","Ambos sexos","2015T3","17,09",17.09,2015,3
"710","De 45 a 49 años","Ambos sexos","2015T3","19,00",19,2015,3
"711","De 50 a 54 años","Ambos sexos","2015T3","18,50",18.5,2015,3
"712","De 55 a 59 años","Ambos sexos","2015T3","19,53",19.53,2015,3
"713","De 60 a 64 años","Ambos sexos","2015T3","16,36",16.36,2015,3
"714","De 65 a 69 años","Ambos sexos","2015T3","4,58",4.58,2015,3
"715","70 y más años","Ambos sexos","2015T3","1,53",1.53,2015,3
"716","Total","Ambos sexos","2015T4","20,90",20.9,2015,4
"717","De 16 a 19 años","Ambos sexos","2015T4","66,09",66.09,2015,4
"718","De 20 a 24 años","Ambos sexos","2015T4","42,52",42.52,2015,4
"719","De 25 a 29 años","Ambos sexos","2015T4","27,57",27.57,2015,4
"720","De 30 a 34 años","Ambos sexos","2015T4","20,25",20.25,2015,4
"721","De 35 a 39 años","Ambos sexos","2015T4","17,73",17.73,2015,4
"722","De 40 a 44 años","Ambos sexos","2015T4","17,29",17.29,2015,4
"723","De 45 a 49 años","Ambos sexos","2015T4","18,76",18.76,2015,4
"724","De 50 a 54 años","Ambos sexos","2015T4","17,77",17.77,2015,4
"725","De 55 a 59 años","Ambos sexos","2015T4","19,14",19.14,2015,4
"726","De 60 a 64 años","Ambos sexos","2015T4","16,74",16.74,2015,4
"727","De 65 a 69 años","Ambos sexos","2015T4","4,82",4.82,2015,4
"728","70 y más años","Ambos sexos","2015T4","2,23",2.23,2015,4
"729","Total","Ambos sexos","2016T1","21,00",21,2016,1
"730","De 16 a 19 años","Ambos sexos","2016T1","64,12",64.12,2016,1
"731","De 20 a 24 años","Ambos sexos","2016T1","43,26",43.26,2016,1
"732","De 25 a 29 años","Ambos sexos","2016T1","28,39",28.39,2016,1
"733","De 30 a 34 años","Ambos sexos","2016T1","20,38",20.38,2016,1
"734","De 35 a 39 años","Ambos sexos","2016T1","18,16",18.16,2016,1
"735","De 40 a 44 años","Ambos sexos","2016T1","17,37",17.37,2016,1
"736","De 45 a 49 años","Ambos sexos","2016T1","18,68",18.68,2016,1
"737","De 50 a 54 años","Ambos sexos","2016T1","18,17",18.17,2016,1
"738","De 55 a 59 años","Ambos sexos","2016T1","18,59",18.59,2016,1
"739","De 60 a 64 años","Ambos sexos","2016T1","16,27",16.27,2016,1
"740","De 65 a 69 años","Ambos sexos","2016T1","6,00",6,2016,1
"741","70 y más años","Ambos sexos","2016T1","4,57",4.57,2016,1
"742","Total","Ambos sexos","2016T2","20,00",20,2016,2
"743","De 16 a 19 años","Ambos sexos","2016T2","63,52",63.52,2016,2
"744","De 20 a 24 años","Ambos sexos","2016T2","43,33",43.33,2016,2
"745","De 25 a 29 años","Ambos sexos","2016T2","26,00",26,2016,2
"746","De 30 a 34 años","Ambos sexos","2016T2","19,63",19.63,2016,2
"747","De 35 a 39 años","Ambos sexos","2016T2","16,40",16.4,2016,2
"748","De 40 a 44 años","Ambos sexos","2016T2","17,11",17.11,2016,2
"749","De 45 a 49 años","Ambos sexos","2016T2","16,62",16.62,2016,2
"750","De 50 a 54 años","Ambos sexos","2016T2","18,07",18.07,2016,2
"751","De 55 a 59 años","Ambos sexos","2016T2","17,81",17.81,2016,2
"752","De 60 a 64 años","Ambos sexos","2016T2","15,75",15.75,2016,2
"753","De 65 a 69 años","Ambos sexos","2016T2","3,84",3.84,2016,2
"754","70 y más años","Ambos sexos","2016T2","2,62",2.62,2016,2
"755","Total","Ambos sexos","2016T3","18,91",18.91,2016,3
"756","De 16 a 19 años","Ambos sexos","2016T3","54,69",54.69,2016,3
"757","De 20 a 24 años","Ambos sexos","2016T3","39,27",39.27,2016,3
"758","De 25 a 29 años","Ambos sexos","2016T3","23,94",23.94,2016,3
"759","De 30 a 34 años","Ambos sexos","2016T3","18,45",18.45,2016,3
"760","De 35 a 39 años","Ambos sexos","2016T3","15,91",15.91,2016,3
"761","De 40 a 44 años","Ambos sexos","2016T3","15,71",15.71,2016,3
"762","De 45 a 49 años","Ambos sexos","2016T3","16,60",16.6,2016,3
"763","De 50 a 54 años","Ambos sexos","2016T3","16,82",16.82,2016,3
"764","De 55 a 59 años","Ambos sexos","2016T3","16,80",16.8,2016,3
"765","De 60 a 64 años","Ambos sexos","2016T3","16,03",16.03,2016,3
"766","De 65 a 69 años","Ambos sexos","2016T3","4,95",4.95,2016,3
"767","70 y más años","Ambos sexos","2016T3","3,28",3.28,2016,3
"768","Total","Ambos sexos","2016T4","18,63",18.63,2016,4
"769","De 16 a 19 años","Ambos sexos","2016T4","58,67",58.67,2016,4
"770","De 20 a 24 años","Ambos sexos","2016T4","39,83",39.83,2016,4
"771","De 25 a 29 años","Ambos sexos","2016T4","24,05",24.05,2016,4
"772","De 30 a 34 años","Ambos sexos","2016T4","18,46",18.46,2016,4
"773","De 35 a 39 años","Ambos sexos","2016T4","15,86",15.86,2016,4
"774","De 40 a 44 años","Ambos sexos","2016T4","15,07",15.07,2016,4
"775","De 45 a 49 años","Ambos sexos","2016T4","16,01",16.01,2016,4
"776","De 50 a 54 años","Ambos sexos","2016T4","16,44",16.44,2016,4
"777","De 55 a 59 años","Ambos sexos","2016T4","16,90",16.9,2016,4
"778","De 60 a 64 años","Ambos sexos","2016T4","16,22",16.22,2016,4
"779","De 65 a 69 años","Ambos sexos","2016T4","4,05",4.05,2016,4
"780","70 y más años","Ambos sexos","2016T4","3,30",3.3,2016,4
"781","Total","Ambos sexos","2017T1","18,75",18.75,2017,1
"782","De 16 a 19 años","Ambos sexos","2017T1","58,74",58.74,2017,1
"783","De 20 a 24 años","Ambos sexos","2017T1","38,37",38.37,2017,1
"784","De 25 a 29 años","Ambos sexos","2017T1","24,77",24.77,2017,1
"785","De 30 a 34 años","Ambos sexos","2017T1","17,54",17.54,2017,1
"786","De 35 a 39 años","Ambos sexos","2017T1","15,99",15.99,2017,1
"787","De 40 a 44 años","Ambos sexos","2017T1","15,98",15.98,2017,1
"788","De 45 a 49 años","Ambos sexos","2017T1","16,94",16.94,2017,1
"789","De 50 a 54 años","Ambos sexos","2017T1","16,76",16.76,2017,1
"790","De 55 a 59 años","Ambos sexos","2017T1","16,55",16.55,2017,1
"791","De 60 a 64 años","Ambos sexos","2017T1","15,37",15.37,2017,1
"792","De 65 a 69 años","Ambos sexos","2017T1","4,88",4.88,2017,1
"793","70 y más años","Ambos sexos","2017T1","0,89",0.89,2017,1
"794","Total","Ambos sexos","2017T2","17,22",17.22,2017,2
"795","De 16 a 19 años","Ambos sexos","2017T2","55,98",55.98,2017,2
"796","De 20 a 24 años","Ambos sexos","2017T2","36,15",36.15,2017,2
"797","De 25 a 29 años","Ambos sexos","2017T2","22,90",22.9,2017,2
"798","De 30 a 34 años","Ambos sexos","2017T2","16,59",16.59,2017,2
"799","De 35 a 39 años","Ambos sexos","2017T2","14,15",14.15,2017,2
"800","De 40 a 44 años","Ambos sexos","2017T2","13,80",13.8,2017,2
"801","De 45 a 49 años","Ambos sexos","2017T2","14,99",14.99,2017,2
"802","De 50 a 54 años","Ambos sexos","2017T2","15,37",15.37,2017,2
"803","De 55 a 59 años","Ambos sexos","2017T2","15,78",15.78,2017,2
"804","De 60 a 64 años","Ambos sexos","2017T2","14,90",14.9,2017,2
"805","De 65 a 69 años","Ambos sexos","2017T2","3,50",3.5,2017,2
"806","70 y más años","Ambos sexos","2017T2","1,38",1.38,2017,2
"807","Total","Ambos sexos","2017T3","16,38",16.38,2017,3
"808","De 16 a 19 años","Ambos sexos","2017T3","50,41",50.41,2017,3
"809","De 20 a 24 años","Ambos sexos","2017T3","32,69",32.69,2017,3
"810","De 25 a 29 años","Ambos sexos","2017T3","22,50",22.5,2017,3
"811","De 30 a 34 años","Ambos sexos","2017T3","15,73",15.73,2017,3
"812","De 35 a 39 años","Ambos sexos","2017T3","13,44",13.44,2017,3
"813","De 40 a 44 años","Ambos sexos","2017T3","12,98",12.98,2017,3
"814","De 45 a 49 años","Ambos sexos","2017T3","14,08",14.08,2017,3
"815","De 50 a 54 años","Ambos sexos","2017T3","14,23",14.23,2017,3
"816","De 55 a 59 años","Ambos sexos","2017T3","15,12",15.12,2017,3
"817","De 60 a 64 años","Ambos sexos","2017T3","14,15",14.15,2017,3
"818","De 65 a 69 años","Ambos sexos","2017T3","5,67",5.67,2017,3
"819","70 y más años","Ambos sexos","2017T3","1,71",1.71,2017,3
"820","Total","Ambos sexos","2017T4","16,55",16.55,2017,4
"821","De 16 a 19 años","Ambos sexos","2017T4","54,20",54.2,2017,4
"822","De 20 a 24 años","Ambos sexos","2017T4","33,95",33.95,2017,4
"823","De 25 a 29 años","Ambos sexos","2017T4","21,71",21.71,2017,4
"824","De 30 a 34 años","Ambos sexos","2017T4","16,71",16.71,2017,4
"825","De 35 a 39 años","Ambos sexos","2017T4","13,87",13.87,2017,4
"826","De 40 a 44 años","Ambos sexos","2017T4","13,09",13.09,2017,4
"827","De 45 a 49 años","Ambos sexos","2017T4","14,24",14.24,2017,4
"828","De 50 a 54 años","Ambos sexos","2017T4","14,48",14.48,2017,4
"829","De 55 a 59 años","Ambos sexos","2017T4","15,30",15.3,2017,4
"830","De 60 a 64 años","Ambos sexos","2017T4","14,11",14.11,2017,4
"831","De 65 a 69 años","Ambos sexos","2017T4","5,10",5.1,2017,4
"832","70 y más años","Ambos sexos","2017T4","2,38",2.38,2017,4
"833","Total","Ambos sexos","2018T1","16,74",16.74,2018,1
"834","De 16 a 19 años","Ambos sexos","2018T1","56,15",56.15,2018,1
"835","De 20 a 24 años","Ambos sexos","2018T1","32,37",32.37,2018,1
"836","De 25 a 29 años","Ambos sexos","2018T1","22,48",22.48,2018,1
"837","De 30 a 34 años","Ambos sexos","2018T1","16,65",16.65,2018,1
"838","De 35 a 39 años","Ambos sexos","2018T1","14,37",14.37,2018,1
"839","De 40 a 44 años","Ambos sexos","2018T1","13,35",13.35,2018,1
"840","De 45 a 49 años","Ambos sexos","2018T1","14,22",14.22,2018,1
"841","De 50 a 54 años","Ambos sexos","2018T1","15,23",15.23,2018,1
"842","De 55 a 59 años","Ambos sexos","2018T1","15,37",15.37,2018,1
"843","De 60 a 64 años","Ambos sexos","2018T1","15,28",15.28,2018,1
"844","De 65 a 69 años","Ambos sexos","2018T1","5,51",5.51,2018,1
"845","70 y más años","Ambos sexos","2018T1","0,45",0.45,2018,1
"846","Total","Ambos sexos","2018T2","15,28",15.28,2018,2
"847","De 16 a 19 años","Ambos sexos","2018T2","51,64",51.64,2018,2
"848","De 20 a 24 años","Ambos sexos","2018T2","30,97",30.97,2018,2
"849","De 25 a 29 años","Ambos sexos","2018T2","20,57",20.57,2018,2
"850","De 30 a 34 años","Ambos sexos","2018T2","14,54",14.54,2018,2
"851","De 35 a 39 años","Ambos sexos","2018T2","12,50",12.5,2018,2
"852","De 40 a 44 años","Ambos sexos","2018T2","11,83",11.83,2018,2
"853","De 45 a 49 años","Ambos sexos","2018T2","13,64",13.64,2018,2
"854","De 50 a 54 años","Ambos sexos","2018T2","13,50",13.5,2018,2
"855","De 55 a 59 años","Ambos sexos","2018T2","14,17",14.17,2018,2
"856","De 60 a 64 años","Ambos sexos","2018T2","13,59",13.59,2018,2
"857","De 65 a 69 años","Ambos sexos","2018T2","5,56",5.56,2018,2
"858","70 y más años","Ambos sexos","2018T2","0,73",0.73,2018,2
"859","Total","Ambos sexos","2018T3","14,55",14.55,2018,3
"860","De 16 a 19 años","Ambos sexos","2018T3","45,43",45.43,2018,3
"861","De 20 a 24 años","Ambos sexos","2018T3","30,10",30.1,2018,3
"862","De 25 a 29 años","Ambos sexos","2018T3","19,31",19.31,2018,3
"863","De 30 a 34 años","Ambos sexos","2018T3","14,86",14.86,2018,3
"864","De 35 a 39 años","Ambos sexos","2018T3","12,25",12.25,2018,3
"865","De 40 a 44 años","Ambos sexos","2018T3","11,58",11.58,2018,3
"866","De 45 a 49 años","Ambos sexos","2018T3","12,06",12.06,2018,3
"867","De 50 a 54 años","Ambos sexos","2018T3","12,75",12.75,2018,3
"868","De 55 a 59 años","Ambos sexos","2018T3","12,68",12.68,2018,3
"869","De 60 a 64 años","Ambos sexos","2018T3","12,38",12.38,2018,3
"870","De 65 a 69 años","Ambos sexos","2018T3","5,58",5.58,2018,3
"871","70 y más años","Ambos sexos","2018T3","0,39",0.39,2018,3
"872","Total","Ambos sexos","2018T4","14,45",14.45,2018,4
"873","De 16 a 19 años","Ambos sexos","2018T4","46,89",46.89,2018,4
"874","De 20 a 24 años","Ambos sexos","2018T4","30,78",30.78,2018,4
"875","De 25 a 29 años","Ambos sexos","2018T4","19,07",19.07,2018,4
"876","De 30 a 34 años","Ambos sexos","2018T4","14,71",14.71,2018,4
"877","De 35 a 39 años","Ambos sexos","2018T4","12,21",12.21,2018,4
"878","De 40 a 44 años","Ambos sexos","2018T4","11,27",11.27,2018,4
"879","De 45 a 49 años","Ambos sexos","2018T4","11,57",11.57,2018,4
"880","De 50 a 54 años","Ambos sexos","2018T4","12,83",12.83,2018,4
"881","De 55 a 59 años","Ambos sexos","2018T4","13,03",13.03,2018,4
"882","De 60 a 64 años","Ambos sexos","2018T4","13,61",13.61,2018,4
"883","De 65 a 69 años","Ambos sexos","2018T4","6,05",6.05,2018,4
"884","70 y más años","Ambos sexos","2018T4","0,48",0.48,2018,4
"885","Total","Ambos sexos","2019T1","14,70",14.7,2019,1
"886","De 16 a 19 años","Ambos sexos","2019T1","49,26",49.26,2019,1
"887","De 20 a 24 años","Ambos sexos","2019T1","32,00",32,2019,1
"888","De 25 a 29 años","Ambos sexos","2019T1","19,51",19.51,2019,1
"889","De 30 a 34 años","Ambos sexos","2019T1","13,96",13.96,2019,1
"890","De 35 a 39 años","Ambos sexos","2019T1","11,95",11.95,2019,1
"891","De 40 a 44 años","Ambos sexos","2019T1","12,11",12.11,2019,1
"892","De 45 a 49 años","Ambos sexos","2019T1","12,42",12.42,2019,1
"893","De 50 a 54 años","Ambos sexos","2019T1","13,25",13.25,2019,1
"894","De 55 a 59 años","Ambos sexos","2019T1","13,12",13.12,2019,1
"895","De 60 a 64 años","Ambos sexos","2019T1","12,69",12.69,2019,1
"896","De 65 a 69 años","Ambos sexos","2019T1","7,22",7.22,2019,1
"897","70 y más años","Ambos sexos","2019T1","0,34",0.34,2019,1
"898","Total","Ambos sexos","2019T2","14,02",14.02,2019,2
"899","De 16 a 19 años","Ambos sexos","2019T2","46,26",46.26,2019,2
"900","De 20 a 24 años","Ambos sexos","2019T2","30,22",30.22,2019,2
"901","De 25 a 29 años","Ambos sexos","2019T2","18,65",18.65,2019,2
"902","De 30 a 34 años","Ambos sexos","2019T2","13,47",13.47,2019,2
"903","De 35 a 39 años","Ambos sexos","2019T2","11,41",11.41,2019,2
"904","De 40 a 44 años","Ambos sexos","2019T2","11,32",11.32,2019,2
"905","De 45 a 49 años","Ambos sexos","2019T2","11,20",11.2,2019,2
"906","De 50 a 54 años","Ambos sexos","2019T2","12,86",12.86,2019,2
"907","De 55 a 59 años","Ambos sexos","2019T2","12,46",12.46,2019,2
"908","De 60 a 64 años","Ambos sexos","2019T2","12,79",12.79,2019,2
"909","De 65 a 69 años","Ambos sexos","2019T2","9,39",9.39,2019,2
"910","70 y más años","Ambos sexos","2019T2","0,00",0,2019,2
"911","Total","Ambos sexos","2019T3","13,92",13.92,2019,3
"912","De 16 a 19 años","Ambos sexos","2019T3","42,15",42.15,2019,3
"913","De 20 a 24 años","Ambos sexos","2019T3","29,28",29.28,2019,3
"914","De 25 a 29 años","Ambos sexos","2019T3","18,75",18.75,2019,3
"915","De 30 a 34 años","Ambos sexos","2019T3","14,20",14.2,2019,3
"916","De 35 a 39 años","Ambos sexos","2019T3","10,94",10.94,2019,3
"917","De 40 a 44 años","Ambos sexos","2019T3","11,63",11.63,2019,3
"918","De 45 a 49 años","Ambos sexos","2019T3","11,11",11.11,2019,3
"919","De 50 a 54 años","Ambos sexos","2019T3","12,14",12.14,2019,3
"920","De 55 a 59 años","Ambos sexos","2019T3","12,27",12.27,2019,3
"921","De 60 a 64 años","Ambos sexos","2019T3","12,15",12.15,2019,3
"922","De 65 a 69 años","Ambos sexos","2019T3","5,62",5.62,2019,3
"923","70 y más años","Ambos sexos","2019T3","1,71",1.71,2019,3
"924","Total","Ambos sexos","2019T4","13,78",13.78,2019,4
"925","De 16 a 19 años","Ambos sexos","2019T4","43,90",43.9,2019,4
"926","De 20 a 24 años","Ambos sexos","2019T4","27,72",27.72,2019,4
"927","De 25 a 29 años","Ambos sexos","2019T4","19,03",19.03,2019,4
"928","De 30 a 34 años","Ambos sexos","2019T4","14,00",14,2019,4
"929","De 35 a 39 años","Ambos sexos","2019T4","11,64",11.64,2019,4
"930","De 40 a 44 años","Ambos sexos","2019T4","10,79",10.79,2019,4
"931","De 45 a 49 años","Ambos sexos","2019T4","11,47",11.47,2019,4
"932","De 50 a 54 años","Ambos sexos","2019T4","11,70",11.7,2019,4
"933","De 55 a 59 años","Ambos sexos","2019T4","12,74",12.74,2019,4
"934","De 60 a 64 años","Ambos sexos","2019T4","12,88",12.88,2019,4
"935","De 65 a 69 años","Ambos sexos","2019T4","5,85",5.85,2019,4
"936","70 y más años","Ambos sexos","2019T4","1,11",1.11,2019,4
"937","Total","Ambos sexos","2020T1","14,41",14.41,2020,1
"938","De 16 a 19 años","Ambos sexos","2020T1","47,29",47.29,2020,1
"939","De 20 a 24 años","Ambos sexos","2020T1","30,12",30.12,2020,1
"940","De 25 a 29 años","Ambos sexos","2020T1","19,67",19.67,2020,1
"941","De 30 a 34 años","Ambos sexos","2020T1","14,85",14.85,2020,1
"942","De 35 a 39 años","Ambos sexos","2020T1","12,86",12.86,2020,1
"943","De 40 a 44 años","Ambos sexos","2020T1","11,53",11.53,2020,1
"944","De 45 a 49 años","Ambos sexos","2020T1","11,82",11.82,2020,1
"945","De 50 a 54 años","Ambos sexos","2020T1","12,28",12.28,2020,1
"946","De 55 a 59 años","Ambos sexos","2020T1","12,62",12.62,2020,1
"947","De 60 a 64 años","Ambos sexos","2020T1","12,34",12.34,2020,1
"948","De 65 a 69 años","Ambos sexos","2020T1","6,45",6.45,2020,1
"949","70 y más años","Ambos sexos","2020T1","1,04",1.04,2020,1
"950","Total","Ambos sexos","2020T2","15,33",15.33,2020,2
"951","De 16 a 19 años","Ambos sexos","2020T2","54,50",54.5,2020,2
"952","De 20 a 24 años","Ambos sexos","2020T2","36,89",36.89,2020,2
"953","De 25 a 29 años","Ambos sexos","2020T2","23,72",23.72,2020,2
"954","De 30 a 34 años","Ambos sexos","2020T2","17,19",17.19,2020,2
"955","De 35 a 39 años","Ambos sexos","2020T2","14,37",14.37,2020,2
"956","De 40 a 44 años","Ambos sexos","2020T2","11,96",11.96,2020,2
"957","De 45 a 49 años","Ambos sexos","2020T2","11,68",11.68,2020,2
"958","De 50 a 54 años","Ambos sexos","2020T2","11,65",11.65,2020,2
"959","De 55 a 59 años","Ambos sexos","2020T2","11,84",11.84,2020,2
"960","De 60 a 64 años","Ambos sexos","2020T2","12,09",12.09,2020,2
"961","De 65 a 69 años","Ambos sexos","2020T2","7,09",7.09,2020,2
"962","70 y más años","Ambos sexos","2020T2","0,79",0.79,2020,2
